ID,Category,Question,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,CorrectAns1,CorrectAns2,CorrectAns3
692,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is mean by Aspect ratio in the tire sizing?,Ratio of section height to width,Ratio of section width to height,Ratio of section height to rim diameter,Ratio of section width to rim diameter,NIL,NIL,NIL,NIL,NIL,NIL,Ratio of section height to width,NIL,NIL
693,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which one is not a Bead reinforcement material?,Nylon,Plastic,Steel,Rayon,NIL,NIL,NIL,NIL,NIL,NIL,Plastic,NIL,NIL
694,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is mean by SUB construction?,Sidewall under belt,Sidewall under bead,Sidewall Up bead,Sidewall Up belt,NIL,NIL,NIL,NIL,NIL,NIL,Sidewall under belt,NIL,NIL
695,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is mean by SOT construction?,Side -Over-Tread,Sidewall- Over- Tread,Sidewall-Optimum -Tread,Sidewall- Out-Tread,NIL,NIL,NIL,NIL,NIL,NIL,Sidewall- Over- Tread,NIL,NIL
696,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What does mean by MFS?,Main Feature Sheet,Main Function Sheet,Main Feature Specification,Material Feature Sheet,NIL,NIL,NIL,NIL,NIL,NIL,Main Feature Sheet,NIL,NIL
697,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which one is not  function of tread in a PLT tire?,Controls internal pressure and maintains the tire's shape,Ensures high mileage,Good road grip,Ensures water expulsion,NIL,NIL,NIL,NIL,NIL,NIL,Controls internal pressure and maintains the tire's shape,NIL,NIL
698,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Which component of a tire promotes directional stability, steering performance and comfort level?",Tread,Sidewall,Textile cord ply,Bead apex,NIL,NIL,NIL,NIL,NIL,NIL,Bead apex,NIL,NIL
699,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which component of a tire  Enhances high-speed suitability?,Jointless cap plies,Tread,Bead,Bead Apex,NIL,NIL,NIL,NIL,NIL,NIL,Jointless cap plies,NIL,NIL
700,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which component of a tire controls internal pressure and maintains the tire's shape?,Sidewall,Textile cord ply,Bead,Tread,NIL,NIL,NIL,NIL,NIL,NIL,Textile cord ply,NIL,NIL
701,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is the function of sidewall in a tire?,Protects the casing from external damage and atmospheric conditions,Enhances directional stability,Gives steering precision,Improves comfort,NIL,NIL,NIL,NIL,NIL,NIL,Protects the casing from external damage and atmospheric conditions,NIL,NIL
702,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Product characteristic or manufacturing process parameter which can affect safety or compliance with regulations, fit, function, performance or subsequent processing of product is called?",Critical Characteristic,Regulatory Characteristics,Customer Characteristics,Special Characteristic,NIL,NIL,NIL,NIL,NIL,NIL,Special Characteristic,NIL,NIL
703,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Water pH value represents ?,Iron content in water,Salt percentage in water,Acidic/ basic nature of water,None of these,NIL,NIL,NIL,NIL,NIL,NIL,Acidic/ basic nature of water,NIL,NIL
704,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is the full form of TTL ( Extruder ) ?,Triplex tread line,Total tread line,Torque tread line,None of these,NIL,NIL,NIL,NIL,NIL,NIL,Triplex tread line,NIL,NIL
705,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is the function of profilometer?,To measure the length,To measure the angle,To measure thickness,None of these,NIL,NIL,NIL,NIL,NIL,NIL,---,NIL,NIL
706,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which parameter effect by pH disturbance?,Thickness,Width,Length,Tackiness,NIL,NIL,NIL,NIL,NIL,NIL,---,NIL,NIL
707,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,OE Tires are required to pass grading specifications for:,Uniformity,Balance,Sidewall Undulation,All of the above,NIL,NIL,NIL,NIL,NIL,NIL,All of the above,NIL,NIL
708,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Ford OE tires require a red paint dot on the sidewall.  Ford uses this mark to:,Designate the outboard side of the tire,Match mount the tire with the rim.,Visual Testing,None of the above.,NIL,NIL,NIL,NIL,NIL,NIL,Match mount the tire with the rim.,NIL,NIL
709,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Tires that are shipped on trailers or containers are loaded using which method:,Stove Piped,Bundled,Loose laced,All of the above,NIL,NIL,NIL,NIL,NIL,NIL,All of the above,NIL,NIL
710,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What do we do to avoid foreign material in the green tire?,Don't mix components,Do not put Rubber / green tire on the floor,All of the above,-,NIL,NIL,NIL,NIL,NIL,NIL,All of the above,NIL,NIL
711,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is the maximum number of cords for the ply splice?,10 +/- 2,4 +/- 2,8 +/- 2,-,NIL,NIL,NIL,NIL,NIL,NIL,4 +/- 2,NIL,NIL
712,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"What quality item in extrusion helps prevent foreign objects such as bolts, nuts, or washers from getting into the final product?",X Ray,Weight Scale,Metal detector,Shearography,NIL,NIL,NIL,NIL,NIL,NIL,Metal detector,NIL,NIL
713,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"What is the desired process capability for cut component width for belts, wire chafer, and steel body ply?",0,0.33,0.66,1.33,NIL,NIL,NIL,NIL,NIL,NIL,1.33,NIL,NIL
714,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What part of the tread application process when building the tire can contribute to customer ride complaints?,Humped tread splice,Tread length too long,Too short,Tread placement off center,NIL,NIL,NIL,NIL,NIL,NIL,---,NIL,NIL
715,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What are the critical factors of the curing process?,"Time, Temperature, and Pressure","Temperature, and Vacuum","Vacuum, and Pressure","Time, Vacuum, and Humidity",NIL,NIL,NIL,NIL,NIL,NIL,"Time, Temperature, and Pressure",NIL,NIL
716,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What are some of the quality checks performed on the finished cured tire before it is released?,Balance,Tire Uniformity,X-Ray,Visual Inspection,NIL,NIL,NIL,NIL,NIL,NIL,---,NIL,NIL
717,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,How many Cured Tire Dimensional Layouts are required per article?,1 per article per year,1 per article per month,1 per article per year or more at the discretion of the plant or special customer request,Non of the above,NIL,NIL,NIL,NIL,NIL,NIL,1 per article per year or more at the discretion of the plant or special customer request,NIL,NIL
718,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"According to POMS document TCST-M-06-B-03-WI-0492-05 Cured Tire Cross Sectional Dimensional Analysis, how many dimensional measure points are recorded on a typical PLT article?",80,64,124,None of the above,NIL,NIL,NIL,NIL,NIL,NIL,80,NIL,NIL
719,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What does the customer expect in a tire?,A tire that is visually acceptable and rides / handles well,A tire with a blemish on the backside of the sidewall,A tire with an excessive tread grind,A tire with a flat spot,NIL,NIL,NIL,NIL,NIL,NIL,A tire that is visually acceptable and rides / handles well,NIL,NIL
720,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,OE customers in the USA expect what tire testing?,Tire uniformity (TUO),Imbalance ,Geometry,All of the above,NIL,NIL,NIL,NIL,NIL,NIL,All of the above,NIL,NIL
721,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"From an anomaly and flash standpoint, when scheduling molds to be placed in various press types, which is the best press type to select?",BOM,Hydraulic,No difference between A & B,Neither,NIL,NIL,NIL,NIL,NIL,NIL,Hydraulic,NIL,NIL
722,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Pinced Bead anomalies are caused by:,Loader mis-alignment,Distorted green tires,Irregular shaped bladder,All of the above,NIL,NIL,NIL,NIL,NIL,NIL,All of the above,NIL,NIL
723,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What's the right steps of Deming Circle?,Plan - do - check - act,Plan - check - do - act,Check - plan - act - do,Check - plan - do - act,NIL,NIL,NIL,NIL,NIL,NIL,Plan - do - check - act,NIL,NIL
724,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What's the main guideline for Gemba Walk or management by walking around?,"On site, Real object, Right now","On site, Real object, Reality","Real data, Real object, Current status","Real data, Real object, Real process",NIL,NIL,NIL,NIL,NIL,NIL,"On site, Real object, Reality",NIL,NIL
725,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Normally we have to follow the “5W3H” principle to describe a problem and what does the “5W3H” stand for?,"Who, When, Where, What, Why, How, How many (much), How customer feels","Who, When, Where, What, Which, How, How many (much), How customer feels","Who, When, Where, What, Why, How, How many (much), How long","Who, When, Where, What, Why, How, How many (much), How often",NIL,NIL,NIL,NIL,NIL,NIL,"Who, When, Where, What, Why, How, How many (much), How customer feels",NIL,NIL
726,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"The 1st priority is to quarantine when problem happens, what's the wrong description below regarding quarantine?",Separate the suspected product from unhappen parts,Separate the suspected product from happening parts,Separate the suspected product from already happened parts,Quarantine all parts without separation,NIL,NIL,NIL,NIL,NIL,NIL,Quarantine all parts without separation,NIL,NIL
727,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is not the old QC 7 methods in below? ,Trend chart,SPC,5S,Pareto chart,NIL,NIL,NIL,NIL,NIL,NIL,5S,NIL,NIL
728,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"For nonconforming control, what is not involved to the “three don'ts” principle we have to follow? ",Do not produce the nonconforming,Do not transfer the nonconforming,Do not reject the nonconforming,Do not accept the nonconforming,NIL,NIL,NIL,NIL,NIL,NIL,Do not reject the nonconforming,NIL,NIL
729,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"A tire is produced at 2016-07-26 day shift, what will be the DOT week on that tire? ",3016,3116,1631,1630,NIL,NIL,NIL,NIL,NIL,NIL,3016,NIL,NIL
730,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"General speaking, we can release the new machine when its CmK is above__? ",1,1.33,1.67,2.2,NIL,NIL,NIL,NIL,NIL,NIL,1.67,NIL,NIL
731,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which factor in below does not belong to tire uniformity? ,RFPP,LFPP,Conicity,Weight,NIL,NIL,NIL,NIL,NIL,NIL,Weight,NIL,NIL
732,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is not related to tire NVH performance in below? ,Noise,Hardness,Vibration,Harshness,NIL,NIL,NIL,NIL,NIL,NIL,Hardness,NIL,NIL
733,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What does not include in 5M1E to fishbone diagram analysis? ,Man,Machine,Material,Market,NIL,NIL,NIL,NIL,NIL,NIL,Market,NIL,NIL
734,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Regarding problem solving, what does DMAIC stand for? ",Define - Measure - Analyze - Improve - Control,Define - Manage - Analyze - Improve - Control,Define - Measure - Act - Implement - Control,Define - Measure - Analyze - Improve - Check,NIL,NIL,NIL,NIL,NIL,NIL,Define - Measure - Analyze - Improve - Control,NIL,NIL
735,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What does not include in UTQG? ,Tread wear,Traction,Temperature,Tire weight,NIL,NIL,NIL,NIL,NIL,NIL,Tire weight,NIL,NIL
736,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What's not the reason to specify tire components' splice distribution in tire building? ,To improve tire uniformity,To improve tire endurance,To improve tire geometry,To improve tire balance,NIL,NIL,NIL,NIL,NIL,NIL,To improve tire endurance,NIL,NIL
737,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which is not the step of project management below? ,Project kick-off,Project milestone meeting,Project closure / wrap up,Project wrokpackage breakdown,NIL,NIL,NIL,NIL,NIL,NIL,Project wrokpackage breakdown,NIL,NIL
738,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What's the main purpose to specify the curing mold vector? ,To improve tire uniformity,To improve tire endurance,To improve tire high speed performance,To improve tire appearance,NIL,NIL,NIL,NIL,NIL,NIL,To improve tire uniformity,NIL,NIL
739,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What's the wrong description regarding SPC evaluation criterion? ,It's irregular if one point out of tolerance,It's irregular if continuous 3 points ramp up or ramp down,It's irregular if continuous 6 points above or below the center line,It's irregular if continuous 2 points above or below the center line,NIL,NIL,NIL,NIL,NIL,NIL,It's irregular if continuous 2 points above or below the center line,NIL,NIL
740,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What's the wrong description regarding FIFO? ,Means first in and first out for WIP / product consumption and delivery,Is good to assure the quality of components (age limit),Is helpful for WIP storage management,Is customer requirement but no benefit to production / quality,NIL,NIL,NIL,NIL,NIL,NIL,Is customer requirement but no benefit to production / quality,NIL,NIL
741,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which tire component can be checked through X-ray inspection? ,Tread,Inner liner,Breaker,Body ply,NIL,NIL,NIL,NIL,NIL,NIL,Breaker,NIL,NIL
742,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What kind of tire defect can be detected by shearography machine?  ,Sidewall blemish,Inner liner foldover,Sidewall indentation,Tread blister,NIL,NIL,NIL,NIL,NIL,NIL,Tread blister,NIL,NIL
743,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which is not the error proofing device / method during tire manufacturing process? ,Metal detection device before extruder compound feeding,Material validation by MVTS before putting on components to tire building machine,Tire visual appearance repair at tip-top machine,Breaker cutting width online measure and alarm device on breaker cutter,NIL,NIL,NIL,NIL,NIL,NIL,Tire visual appearance repair at tip-top machine,NIL,NIL
744,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Safe launch is performed for__ ,Replacement tire articles,OE tire articles,Both OE and replacement tires,Randomly selected no matter OE or replacement,NIL,NIL,NIL,NIL,NIL,NIL,OE tire articles,NIL,NIL
745,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Too heavy building ply splice will cause__ ,Sidewall indentation,Sidewall splice blemish,Tread blemish,Bead blemish,NIL,NIL,NIL,NIL,NIL,NIL,Sidewall indentation,NIL,NIL
746,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which is not the OE customer requirements below? ,Q1,QSB+,Formel Q,ISO/TS16949,NIL,NIL,NIL,NIL,NIL,NIL,ISO/TS16949,NIL,NIL
747,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which is not the factor to calculate RPN in FMEA? ,Severity,Recovery,Detection,Occurrence,NIL,NIL,NIL,NIL,NIL,NIL,Recovery,NIL,NIL
748,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which is not the tool for structural problem solving? ,Fishbone diagram,Stratification,5 Why,Lean,NIL,NIL,NIL,NIL,NIL,NIL,Lean,NIL,NIL
749,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What's the meaning of TSL in curing process? ,Tire sidewall lettering,Tire safe launch,Tire scrap level,Tread shoulder light,NIL,NIL,NIL,NIL,NIL,NIL,Tire sidewall lettering,NIL,NIL
750,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which is not in TSL below? ,Brand Name     VIKING,Tire Size         215/45 ZR 17,UTQG:           TREAD WEAR GRADE 360,Tire Outer Circumference   2120 mm,NIL,NIL,NIL,NIL,NIL,NIL,Tire Outer Circumference   2120 mm,NIL,NIL
751,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"In which part of a tire will you find the ""LPN Beat Ring Top: 52645"" as in a MML? ",Bead,Tread ,Sidewall,Inner liner,NIL,NIL,NIL,NIL,NIL,NIL,Bead,NIL,NIL
752,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which component below is not produced at extruder? ,Tread,Insert,Sidewall,Breaker,NIL,NIL,NIL,NIL,NIL,NIL,Breaker,NIL,NIL
753,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What's not the main criteria to identify the milestones/key steps during a project? ,Is complex,Has an impact on other steps ,Is agreed,Is new and time limited,NIL,NIL,NIL,NIL,NIL,NIL,Is agreed,NIL,NIL
754,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which is not included in tire balance test? ,Top tire weight imbalance,Bottom tire weight imbalance,Static tire weight imbalance,Tire weight,NIL,NIL,NIL,NIL,NIL,NIL,Tire weight,NIL,NIL
755,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which is not included in the new EU tire label? ,Mileage,Noise classification,Wet grip,Fuel consumption,NIL,NIL,NIL,NIL,NIL,NIL,Mileage,NIL,NIL
756,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Generally speaking, which kind of indicator in below can be used for process capability evaluation?  ",Cpk,Mean,Standard deviation,Median,NIL,NIL,NIL,NIL,NIL,NIL,Cpk,NIL,NIL
757,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which chart below is not a SPC chart? ,Xbar-R chart,Run chart,P chart,Xbar-s chart,NIL,NIL,NIL,NIL,NIL,NIL,Run chart,NIL,NIL
758,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which one is wrong in below for SPC explanation? ,Means statistical process control,Is kind of presentation,Is a tool belonging to ISO/TS16949,Is nothing to do with manufacturing,NIL,NIL,NIL,NIL,NIL,NIL,Is nothing to do with manufacturing,NIL,NIL
759,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What kind of meeting will be held regularly regarding market complained tires ,FAM/ FOCUS,POR,RICP meeting,No meetings,NIL,NIL,NIL,NIL,NIL,NIL,FAM/ FOCUS,NIL,NIL
760,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which is not the reason to keep traceability of our products? ,ISO/TS16949 and OE customers' requirement,Helpful to have when doing problem solving to product defect,Necessary to have when to sort and quarantine nonconforming products,Just demonstrate high-tech manufacturing process,NIL,NIL,NIL,NIL,NIL,NIL,Just demonstrate high-tech manufacturing process,NIL,NIL
761,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is not controlled for component tread at extruder? ,Contour,Meter weight,Mooney viscosity,Split between tread cap and wing compound,NIL,NIL,NIL,NIL,NIL,NIL,Mooney viscosity,NIL,NIL
762,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What does MSA stand for as a tool of ISO/TS16949? ,Measurement system analysis,Management system assessment,Material statistical approach,Measurement statistical approach,NIL,NIL,NIL,NIL,NIL,NIL,Measurement system analysis,NIL,NIL
763,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is not the key three process elements for curing a tire? ,Timing,Temperature,Pressure,Speed,NIL,NIL,NIL,NIL,NIL,NIL,Speed,NIL,NIL
764,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,The wrong description to tread color marking below is __  ,Is kind of visualization management,Is required by OE customer sometimes,Is specified in the specifications,Is not useful at all,NIL,NIL,NIL,NIL,NIL,NIL,Is not useful at all,NIL,NIL
765,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is not controlled for component breaker at breaker cutter? ,Width,Angle,EPDM,Splice dogear,NIL,NIL,NIL,NIL,NIL,NIL,EPDM,NIL,NIL
766,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What does RICP stand for? ,Rolling investment and cost preparation,Rolling investment and capacity planning,Rolling investigation and capacity planning,Rolling investigation and cost preparation,NIL,NIL,NIL,NIL,NIL,NIL,Rolling investment and capacity planning,NIL,NIL
767,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What does MFS/RN stand for? ,Main feature sheet / release note,Main feature sheet / redesign note,Main future sheet / release note,Main future sheet / redesign note,NIL,NIL,NIL,NIL,NIL,NIL,Main feature sheet / release note,NIL,NIL
768,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which is not tire performance below? ,Mileage,High speed,Brake distance,Tire wear indicator,NIL,NIL,NIL,NIL,NIL,NIL,Tire wear indicator,NIL,NIL
769,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is not related to tire standard in below? ,CCC,ETRTO,ISO14001,JATMA,NIL,NIL,NIL,NIL,NIL,NIL,ISO14001,NIL,NIL
770,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is not a process characteristic in below ,Extrusion line speed,Tire appearance,Tread windup temperature,Tire curing temperature,NIL,NIL,NIL,NIL,NIL,NIL,Tire appearance,NIL,NIL
771,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Generally speaking, it will be treated as a stable process if the Cpk is above__ ",1,1.33,1.67,2,NIL,NIL,NIL,NIL,NIL,NIL,1.33,NIL,NIL
772,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What's right classification for quality management documentations? ,Quality manual - FMEA / control plan - work instruction - checklist / record,FMEA / control plan - Quality manual - work instruction - checklist / record,Quality manual - work instruction - FMEA / control plan - checklist / record,Quality manual - FMEA / control plan - checklist / record - work instruction,NIL,NIL,NIL,NIL,NIL,NIL,Quality manual - FMEA / control plan - work instruction - checklist / record,NIL,NIL
773,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What means VOC in development planning?,Voice of the Customer,Value of Conformity,Voice of Consumer,Volatile organic compounds,NIL,NIL,NIL,NIL,NIL,NIL,Voice of the Customer,NIL,NIL
774,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which quality method are we using for preventive actions in our development?,Jidoka,MSA,FMEA,5S,NIL,NIL,NIL,NIL,NIL,NIL,FMEA,NIL,NIL
775,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What means FMEA?,Final Measure Equipment Analyze,Far Middle East Africa,Failure Mode and Effects Analysis,Fast Maintenance Engineering Action,NIL,NIL,NIL,NIL,NIL,NIL,Failure Mode and Effects Analysis,NIL,NIL
776,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,To which method is the control plan linked to?,SPC,Xq-chart,FMEA,DOE,NIL,NIL,NIL,NIL,NIL,NIL,FMEA,NIL,NIL
777,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is the Japanese Wording for Error Proofing?,KAPUTT,Kaizen,NOGOOD,POKA YOKE,NIL,NIL,NIL,NIL,NIL,NIL,POKA YOKE,NIL,NIL
778,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What means CSR with respect to tire development?,Customer specific requirement,Cost Service Request,Customer sales review,Computer specific release,NIL,NIL,NIL,NIL,NIL,NIL,Customer specific requirement,NIL,NIL
779,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is APQP?,Advanced Production Quarterly Planning,Advanced Product Quality Planning,Advanced Production Quality Planning,Approved Product Quality Planning,NIL,NIL,NIL,NIL,NIL,NIL,Advanced Product Quality Planning,NIL,NIL
780,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is PPAP?,Production Process Approval Planning,Partly Proofed Analyzed Process,"Production, Product, Approval, Process",Production Part Approval Process,NIL,NIL,NIL,NIL,NIL,NIL,Production Part Approval Process,NIL,NIL
781,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What means OEM?,Original Equipment Manufacturer,Over efficient Measure,On Equipment measured,Original Employee made,NIL,NIL,NIL,NIL,NIL,NIL,Original Equipment Manufacturer,NIL,NIL
782,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What means PDCA?,Product Defects caused by Autoclave,Plan Do Check Act,"Produced, dried, colored, analyzed",Plan Do Confirm Approve,NIL,NIL,NIL,NIL,NIL,NIL,Plan Do Check Act,NIL,NIL
783,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is the meaning of 8D,8 Defects,8 Steps,8 disciplines,8 Questions,NIL,NIL,NIL,NIL,NIL,NIL,8 disciplines,NIL,NIL
784,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is the meaning of TS 16949,Technical Specification for automotive industry,Specification for Aircraft,Environmental Standard,Technical Steering of ISO,NIL,NIL,NIL,NIL,NIL,NIL,Technical Specification for automotive industry,NIL,NIL
785,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"In case of a customer complaint, which method must be applied?",8D,2S,4Y,12G,NIL,NIL,NIL,NIL,NIL,NIL,8D,NIL,NIL
786,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,For which purpose we are using Ishikawa?,Brainstorming,Creativity,Root cause analysis,Relaxing,NIL,NIL,NIL,NIL,NIL,NIL,Root cause analysis,NIL,NIL
787,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is our method to analyze risk in R&D?,FDPE,FMEA,DOE,QFD,NIL,NIL,NIL,NIL,NIL,NIL,FMEA,NIL,NIL
788,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,How we ensure that all relevant requirements were considered in product development,ADQP,PROMT,APQP,PDCA,NIL,NIL,NIL,NIL,NIL,NIL,APQP,NIL,NIL
789,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is the reason for development gates in the development process?,Reduction of Risk,Needed for external Audits,Needed for Certification,Legal Requirement,NIL,NIL,NIL,NIL,NIL,NIL,Reduction of Risk,NIL,NIL
790,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,How do we control a project time line?,Via a GANTT Chart,Value Stream Map,Swim Lane Diagram,Process Flow,NIL,NIL,NIL,NIL,NIL,NIL,Via a GANTT Chart,NIL,NIL
791,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which criteria were mentioned on the EU Label sticker,"Rolling resistant, Wet grip, Noise","Rolling resistant, Wear, Noise","Fuel consumption, Wet grip, Noise","Energy Class, Wet grip, Speed Symbol",NIL,NIL,NIL,NIL,NIL,NIL,"Rolling resistant, Wet grip, Noise",NIL,NIL
792,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Which two types of FMEA do exist?,Design FMEA and System FMEA,Product FMEA and Process FMEA,Design FMEA and Process FMEA,Design FMEA and Product FMEA,NIL,NIL,NIL,NIL,NIL,NIL,Design FMEA and Process FMEA,NIL,NIL
793,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,How to calculate the Risk Priority Number (RPN)?,RPN = Severity + Occurrence + Detection,RPN = Severity + Occurrence x Detection,RPN = Severity x Occurrence + Detection,RPN = Severity x Occurrence x Detection,NIL,NIL,NIL,NIL,NIL,NIL,RPN = Severity x Occurrence x Detection,NIL,NIL
794,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What should be the considered for the composition of the FMEA Team?,Intercultural Team,Multidisciplinary Team,Multinational Team,Monodisciplinary Team,NIL,NIL,NIL,NIL,NIL,NIL,Multidisciplinary Team,NIL,NIL
795,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is the maximum RPN Number?,1,10,100,1000,NIL,NIL,NIL,NIL,NIL,NIL,1000,NIL,NIL
796,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"For which type of products, the generic FMEA can be applied?",All products,Component Families,Passenger Car Tires,All Tires,NIL,NIL,NIL,NIL,NIL,NIL,Component Families,NIL,NIL
797,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,How many steps has Structured Problem Solving?,2,3,4,6,NIL,NIL,NIL,NIL,NIL,NIL,4,NIL,NIL
798,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What is the right order of the structured problem solving steps?,Describe problem – Find root cause of problem – Solve problem – Validate solution and standardize,Find root cause of problem – Validate solution and standardize – Describe problem – Solve problem,Describe problem – Solve problem – Find root cause of problem – Validate solution and standardize,Describe problem – Find cause of problem – Solve problem – Validate solution and standardize,NIL,NIL,NIL,NIL,NIL,NIL,Describe problem – Find root cause of problem – Solve problem – Validate solution and standardize,NIL,NIL
799,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,What can be used to describe the problem?,Fishbone diagram,5Why,Checklist,Key Questions,NIL,NIL,NIL,NIL,NIL,NIL,Key Questions,NIL,NIL
